failure_mode_id,cost_ratio_fa_over_miss,lambda_cost,s0,first_action,set_size,n_diversify,n_scale
FM-3.3,0.0,0.0,mistral7b,DIVERSIFY,2,1,2
FM-3.3,0.0,0.05,mistral7b,DIVERSIFY,2,1,2
FM-3.3,0.0,0.1,mistral7b,DIVERSIFY,2,1,0
FM-3.3,0.0,0.2,mistral7b,DIVERSIFY,2,1,0
FM-3.3,0.0,0.4,mistral7b,STOP,1,0,0
FM-3.3,0.0,0.8,mistral7b,STOP,1,0,0
FM-3.3,0.25,0.0,mistral7b,DIVERSIFY,2,1,2
FM-3.3,0.25,0.05,mistral7b,DIVERSIFY,2,1,2
FM-3.3,0.25,0.1,mistral7b,DIVERSIFY,2,1,0
FM-3.3,0.25,0.2,mistral7b,DIVERSIFY,2,1,0
FM-3.3,0.25,0.4,mistral7b,STOP,1,0,0
FM-3.3,0.25,0.8,mistral7b,STOP,1,0,0
FM-3.3,0.5,0.0,mistral7b,DIVERSIFY,2,1,2
FM-3.3,0.5,0.05,mistral7b,DIVERSIFY,2,1,2
FM-3.3,0.5,0.1,mistral7b,DIVERSIFY,2,1,0
FM-3.3,0.5,0.2,mistral7b,STOP,1,0,0
FM-3.3,0.5,0.4,mistral7b,STOP,1,0,0
FM-3.3,0.5,0.8,mistral7b,STOP,1,0,0
FM-3.3,1.0,0.0,llama31,SCALE,1,0,1
FM-3.3,1.0,0.05,llama31,STOP,1,0,0
FM-3.3,1.0,0.1,llama31,STOP,1,0,0
FM-3.3,1.0,0.2,llama31,STOP,1,0,0
FM-3.3,1.0,0.4,mistral7b,STOP,1,0,0
FM-3.3,1.0,0.8,mistral7b,STOP,1,0,0
FM-3.3,2.0,0.0,llama32_3b,STOP,1,0,0
FM-3.3,2.0,0.05,llama32_3b,STOP,1,0,0
FM-3.3,2.0,0.1,llama32_3b,STOP,1,0,0
FM-3.3,2.0,0.2,llama32_3b,STOP,1,0,0
FM-3.3,2.0,0.4,llama32_3b,STOP,1,0,0
FM-3.3,2.0,0.8,llama32_3b,STOP,1,0,0
FM-3.3,4.0,0.0,llama32_3b,STOP,1,0,0
FM-3.3,4.0,0.05,llama32_3b,STOP,1,0,0
FM-3.3,4.0,0.1,llama32_3b,STOP,1,0,0
FM-3.3,4.0,0.2,llama32_3b,STOP,1,0,0
FM-3.3,4.0,0.4,llama32_3b,STOP,1,0,0
FM-3.3,4.0,0.8,llama32_3b,STOP,1,0,0
